[Tue Oct 15 02:48:18.515056 2019] [mpm_event:notice] [pid 1151:tid 140038082049920] AH00489: Apache/2.4.10 (Debian) configured -- resuming normal operations
[Tue Oct 15 02:48:18.515746 2019] [core:notice] [pid 1151:tid 140038082049920] AH00094: Command line: '/usr/sbin/apache2'
[Tue Oct 15 14:30:38.703272 2019] [proxy_fcgi:error] [pid 1155:tid 140037853267712] [client 172.17.0.1:38138] AH01068: Got bogus version 116, referer: http://hellodolly.local/wp-admin/plugin-install.php?s=fa&tab=search&type=term
[Tue Oct 15 14:30:38.703933 2019] [proxy_fcgi:error] [pid 1155:tid 140037853267712] (22)Invalid argument: [client 172.17.0.1:38138] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/plugin-install.php?s=fa&tab=search&type=term
[Tue Oct 15 15:04:23.612598 2019] [proxy_fcgi:error] [pid 1154:tid 140037853267712] [client 172.17.0.1:38242] AH01068: Got bogus version 109, referer: http://hellodolly.local/wp-admin/plugin-install.php?s=attach&tab=search&type=term
[Tue Oct 15 15:04:23.613148 2019] [proxy_fcgi:error] [pid 1154:tid 140037853267712] (22)Invalid argument: [client 172.17.0.1:38242] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/plugin-install.php?s=attach&tab=search&type=term
[Wed Oct 16 16:46:34.439880 2019] [proxy_fcgi:error] [pid 1154:tid 140037836482304] [client 172.17.0.1:39400] AH01068: Got bogus version 44, referer: http://hellodolly.local/wp-admin/edit.php
[Wed Oct 16 16:46:34.440252 2019] [proxy_fcgi:error] [pid 1154:tid 140037836482304] (22)Invalid argument: [client 172.17.0.1:39400] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php
[Wed Oct 16 16:46:34.524701 2019] [proxy_fcgi:error] [pid 1155:tid 140037777733376] [client 172.17.0.1:39376] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php
[Wed Oct 16 16:46:34.524897 2019] [proxy_fcgi:error] [pid 1155:tid 140037777733376] (22)Invalid argument: [client 172.17.0.1:39376] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php
[Wed Oct 16 16:56:58.342402 2019] [proxy_fcgi:error] [pid 1155:tid 140037718984448] [client 172.17.0.1:40284] AH01068: Got bogus version 44, referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Wed Oct 16 16:56:58.342574 2019] [proxy_fcgi:error] [pid 1155:tid 140037718984448] (22)Invalid argument: [client 172.17.0.1:40284] AH01075: Error dispatching request to : (passing brigade to output filters), referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
[Wed Oct 16 16:56:58.425191 2019] [proxy_fcgi:error] [pid 1154:tid 140037870053120] [client 172.17.0.1:40256] AH01068: Got bogus version 58, referer: http://hellodolly.local/wp-admin/edit.php?post_type=page
